,administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
33,4.0,0 days 00:01:04,0,0 days 00:00:00,14.0,0 days 00:00:00,0.0,0.012,0.0,Dec,Windows,Microsoft Edge,Western Europe,Bing search,New_Visitor,False,False
34,0.0,0 days 00:00:00,0,0 days 00:00:00,3.0,0 days 00:00:00,0.0667,0.089,0.0,May,Windows,Google Chrome,North America,Twitter,Returning_Visitor,False,False
35,4.0,0 days 00:00:30,0,0 days 00:00:00,19.0,0 days 00:00:00,0.0,0.011,0.0,May,MACOS,Safari,North America,Google search,New_Visitor,False,False
36,0.0,0 days 00:00:00,0,0 days 00:00:00,1.0,0 days 00:00:00,0.0,0.1,0.0,Mar,MACOS,Safari,Western Europe,Instagram ads,Returning_Visitor,False,False
37,6.0,0 days 00:01:08.500000,2,0 days 00:01:06,37.0,0 days 00:01:06,0.02,0.043,0.0,May,Android,Google Chrome,North America,Bing search,Returning_Visitor,False,False
38,0.0,0 days 00:00:00,0,0 days 00:00:00,10.0,0 days 00:00:00,0.0,0.067,0.0,May,Windows,Google Chrome,Southern Africa,Bing search,Returning_Visitor,False,False
39,0.0,0 days 00:00:00,0,0 days 00:00:00,7.0,0 days 00:00:00,0.0587,0.121,0.0,May,Windows,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
40,0.0,0 days 00:00:00,0,0 days 00:00:00,8.0,0 days 00:00:00,0.0,0.024,0.0,Oct,Android,Google Chrome,Southern Africa,Direct Traffic,Returning_Visitor,False,False
41,0.0,0 days 00:00:00,0,0 days 00:00:00,45.0,0 days 00:00:00,0.0075,0.019,14.1,Dec,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
42,0.0,0 days 00:00:00,0,0 days 00:00:00,3.0,0 days 00:00:00,0.0,0.017,0.0,Mar,Android,Google Chrome,Oceania,Google search,Returning_Visitor,True,False
43,0.0,0 days 00:00:00,0,0 days 00:00:00,1.0,0 days 00:00:00,0.0221,0.078,0.0,June,Android,Google Chrome,Asia,Instagram ads,Returning_Visitor,False,False
44,0.0,0 days 00:00:00,0,0 days 00:00:00,21.0,0 days 00:00:00,0.0,0.006,0.0,Oct,Windows,Mozilla Firefox,South America,Bing search,Returning_Visitor,False,False
45,0.0,0 days 00:00:00,2,0 days 00:00:35.500000,25.0,0 days 00:00:35.500000,0.0,0.004,0.0,May,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,False
46,0.0,0 days 00:00:00,0,0 days 00:00:00,23.0,0 days 00:00:00,0.0044,0.029,53.4,May,Windows,Google Chrome,South America,Twitter,Returning_Visitor,False,True
47,7.0,0 days 00:00:06,0,0 days 00:00:00,16.0,0 days 00:00:00,0.0083,0.001,0.0,Jul,MACOS,Safari,North America,Google search,New_Visitor,True,False
48,0.0,0 days 00:00:00,0,0 days 00:00:00,9.0,0 days 00:00:00,0.0,0.045,0.0,Mar,Windows,Google Chrome,Asia,Instagram ads,Returning_Visitor,False,False
49,0.0,0 days 00:00:00,0,0 days 00:00:00,12.0,0 days 00:00:00,0.0,0.02,0.0,Mar,Windows,Mozilla Firefox,Western Europe,Facebook ads,Returning_Visitor,True,False
50,6.0,0 days 00:01:05.300000,4,0 days 00:00:22.400000,210.0,0 days 00:00:22.400000,0.0193,0.036,0.0,Sep,Windows,Google Chrome,South America,Youtube ads,Returning_Visitor,False,False
51,0.0,0 days 00:00:00,0,0 days 00:00:00,1.0,0 days 00:00:00,0.0167,0.025,0.0,Nov,Android,Yandex,Southern Africa,Google search,Returning_Visitor,True,False
52,1.0,0 days 00:00:56,0,0 days 00:00:00,24.0,0 days 00:00:00,0.0,0.016,24.3,May,MACOS,Safari,Asia,Bing search,Returning_Visitor,True,True
53,1.0,0 days 00:00:03,0,0 days 00:00:00,20.0,0 days 00:00:00,0.0,0.016,0.0,Oct,MACOS,Safari,North America,Google search,New_Visitor,True,False
54,4.0,0 days 00:05:18.600000,0,0 days 00:00:00,62.0,0 days 00:00:00,0.0053,0.009,0.0,Oct,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,True,False
55,1.0,0 days 00:00:00,0,0 days 00:00:00,30.0,0 days 00:00:00,0.0,0.005,40.2,May,Windows,Google Chrome,North America,Instagram Page,New_Visitor,False,True
56,12.0,0 days 00:01:48.272727300,1,0 days 00:00:55,50.0,0 days 00:00:55,0.0045,0.013,14.3,May,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,False,False
57,0.0,0 days 00:00:00,0,0 days 00:00:00,14.0,0 days 00:00:00,0.0,0.003,0.0,Jul,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
58,0.0,0 days 00:00:00,0,0 days 00:00:00,16.0,0 days 00:00:00,0.0754,0.127,0.0,Nov,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
59,0.0,0 days 00:00:00,0,0 days 00:00:00,2.0,0 days 00:00:00,0.2,0.2,0.0,Nov,Android,Google Chrome,Asia,Facebook ads,Returning_Visitor,False,False
60,0.0,0 days 00:00:00,0,0 days 00:00:00,10.0,0 days 00:00:00,0.0,0.015,0.0,Dec,Android,Google Chrome,North America,Google search,New_Visitor,True,False
61,5.0,0 days 00:01:08.300000,1,0 days 00:00:19.400000,8.0,0 days 00:00:19.400000,0.0,0.005,0.0,Oct,Windows,Google Chrome,North America,Tik Tok ads,Returning_Visitor,False,False
62,5.0,0 days 00:01:00.500000,0,0 days 00:00:00,40.0,0 days 00:00:00,0.0088,0.024,0.0,May,Windows,Google Chrome,Western Europe,Bing search,New_Visitor,False,False
63,11.0,0 days 00:04:22.735764700,2,0 days 00:00:10,25.0,0 days 00:00:10,0.0,0.01,11.8,Aug,Windows,Google Chrome,Western Europe,Bing search,New_Visitor,False,False
64,0.0,0 days 00:00:06,0,0 days 00:00:00,5.0,0 days 00:00:00,0.0333,0.047,0.0,Nov,Windows,Google Chrome,Eastern Europe,Google search,New_Visitor,False,False
65,9.0,0 days 00:02:57,1,0 days 00:00:53,70.0,0 days 00:00:53,0.0097,0.026,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
66,0.0,0 days 00:00:00,0,0 days 00:00:00,10.0,0 days 00:00:00,0.01,0.031,0.0,Nov,Android,Google Chrome,Southern Africa,Google search,Returning_Visitor,True,True
67,2.0,0 days 00:00:19,0,0 days 00:00:00,11.0,0 days 00:00:00,0.0,0.03,6.3,Mar,Windows,Opera,North America,Youtube channel,Returning_Visitor,False,False
68,0.0,0 days 00:00:00,0,0 days 00:00:00,5.0,0 days 00:00:00,0.0,0.021,0.0,Dec,Windows,Mozilla Firefox,North America,Twitter,Returning_Visitor,False,False
69,6.0,0 days 00:01:20,0,0 days 00:00:00,16.0,0 days 00:00:00,0.0,0.014,22.5,Mar,MACOS,Google Chrome,South America,Google search,New_Visitor,False,True
70,1.0,0 days 00:00:05,3,0 days 00:01:55.333333300,38.0,0 days 00:01:55.333333300,0.0126,0.044,0.0,Dec,Windows,Google Chrome,South America,Facebook ads,Returning_Visitor,False,False
71,7.0,0 days 00:02:40.500000,0,0 days 00:00:00,31.0,0 days 00:00:00,0.0,0.009,0.0,May,Windows,Google Chrome,North America,Bing search,Returning_Visitor,False,False
72,6.0,0 days 00:01:19.750000,0,0 days 00:00:00,3.0,0 days 00:00:00,0.0,0.06,0.0,Dec,MACOS,Safari,Western Europe,Youtube channel,New_Visitor,False,False
73,3.0,0 days 00:00:55,0,0 days 00:00:00,48.0,0 days 00:00:00,0.0046,0.021,0.0,May,Android,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
74,7.0,0 days 00:27:55.750000,0,0 days 00:00:00,113.0,0 days 00:00:00,0.0016,0.006,30.9,May,Windows,Microsoft Edge,North America,Google search,Returning_Visitor,False,True
75,2.0,0 days 00:00:58,1,0 days 00:00:07,57.0,0 days 00:00:07,0.0,0.005,0.0,Mar,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,False
76,3.0,0 days 00:00:16,2,0 days 00:01:34.750000,1.0,0 days 00:01:34.750000,0.0,0.013,21.8,Nov,MACOS,Google Chrome,Asia,Instagram ads,Returning_Visitor,True,True
77,0.0,0 days 00:00:00,0,0 days 00:00:00,44.0,0 days 00:00:00,0.0,0.024,0.0,Nov,Windows,Google Chrome,North America,Google search,Returning_Visitor,True,False
78,0.0,0 days 00:00:00,0,0 days 00:00:00,3.0,0 days 00:00:00,0.04,0.05,0.0,May,MACOS,Safari,North America,Facebook ads,Returning_Visitor,False,False
79,2.0,0 days 00:00:14,0,0 days 00:00:00,53.0,0 days 00:00:00,0.0388,0.074,0.0,Nov,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
80,7.0,0 days 00:01:55.500000,0,0 days 00:00:00,33.0,0 days 00:00:00,0.014,0.025,0.0,May,Android,Google Chrome,North America,Facebook ads,Returning_Visitor,False,False
81,5.0,0 days 00:03:55.066666699,1,0 days 00:00:45.400000,12.0,0 days 00:00:45.400000,0.0103,0.01,0.0,Oct,MACOS,Safari,Oceania,Google search,New_Visitor,False,False
82,0.0,0 days 00:00:00,0,0 days 00:00:00,40.0,0 days 00:00:00,0.02,0.057,0.0,Nov,Android,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
83,0.0,0 days 00:00:00,2,0 days 00:00:20,6.0,0 days 00:00:20,0.0,0.0,0.0,May,Windows,Mozilla Firefox,North America,Instagram Page,Returning_Visitor,False,False
84,3.0,0 days 00:01:30,0,0 days 00:00:00,25.0,0 days 00:00:00,0.0,0.013,149.6,Dec,MACOS,Safari,North America,Google search,New_Visitor,False,True
85,3.0,0 days 00:01:06.966666670,1,0 days 00:06:35.333333300,33.0,0 days 00:06:35.333333300,0.0057,0.019,0.0,May,MACOS,Safari,Africa,Google search,Returning_Visitor,False,False
86,0.0,0 days 00:00:00,0,0 days 00:00:00,2.0,0 days 00:00:00,0.0,0.1,0.0,May,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
87,3.0,0 days 00:00:18.800000,0,0 days 00:00:00,18.0,0 days 00:00:00,0.0123,0.033,0.0,Nov,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,True
88,4.0,0 days 00:02:44.200000,1,0 days 00:00:16.500000,8.0,0 days 00:00:16.500000,0.0,0.028,0.0,Oct,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
89,2.0,0 days 00:00:06,0,0 days 00:00:00,15.0,0 days 00:00:00,0.0,0.004,0.0,Sep,Windows,Google Chrome,South America,Google search,New_Visitor,False,False
90,3.0,0 days 00:00:56.500000,2,0 days 00:00:59.500000,110.0,0 days 00:00:59.500000,0.0145,0.045,20.0,Dec,Windows,Google Chrome,Asia,Google search,Returning_Visitor,False,False
91,3.0,0 days 00:01:05.500000,0,0 days 00:00:00,13.0,0 days 00:00:00,0.0061,0.024,0.0,Nov,Windows,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,True,False
92,4.0,0 days 00:01:20,0,0 days 00:00:00,37.0,0 days 00:00:00,0.0,0.025,0.0,May,iOS,Safari,South America,Instagram ads,Returning_Visitor,False,False
93,0.0,0 days 00:00:00,0,0 days 00:00:00,22.0,0 days 00:00:00,0.0064,0.026,0.0,Nov,Windows,QQ,North America,Google search,Returning_Visitor,False,False
94,0.0,0 days 00:00:00,0,0 days 00:00:00,14.0,0 days 00:00:00,0.0,0.017,0.0,May,Windows,Mozilla Firefox,Eastern Europe,Instagram ads,Returning_Visitor,False,False
95,16.0,0 days 00:13:07.075600,6,0 days 00:06:36.621000,36.0,0 days 00:06:36.621000,0.0137,0.021,1.3,Nov,MACOS,Safari,Western Europe,Google search,New_Visitor,False,True
96,5.0,0 days 00:00:28.250000,0,0 days 00:00:00,155.0,0 days 00:00:00,0.0,0.007,4.2,Nov,Windows,Mozilla Firefox,North America,Google search,Returning_Visitor,False,True
97,0.0,0 days 00:00:00,0,0 days 00:00:00,13.0,0 days 00:00:00,0.0,0.018,0.0,Nov,Android,Google Chrome,Western Europe,Youtube channel,New_Visitor,False,False
98,0.0,0 days 00:00:00,0,0 days 00:00:00,1.0,0 days 00:00:00,0.2,0.2,0.0,Aug,Android,Google Chrome,Asia,Instagram ads,Returning_Visitor,True,False
99,1.0,0 days 00:00:49,0,0 days 00:00:00,5.0,0 days 00:00:00,0.0,0.027,0.0,Nov,MACOS,Safari,Western Europe,Google search,Returning_Visitor,False,False
100,2.0,0 days 00:01:08,0,0 days 00:00:00,8.0,0 days 00:00:00,0.0,0.011,0.0,Dec,Windows,Google Chrome,Africa,Google search,New_Visitor,False,False
101,1.0,0 days 00:03:19,0,0 days 00:00:00,1.0,0 days 00:00:00,0.0,0.01,16.1,May,Windows,Google Chrome,Asia,Bing search,Returning_Visitor,False,False
102,6.0,0 days 00:01:20,0,0 days 00:00:00,6.0,0 days 00:00:00,0.0,0.023,0.0,Mar,Windows,Microsoft Edge,Eastern Europe,Facebook ads,Returning_Visitor,False,False
103,5.0,0 days 00:00:31,0,0 days 00:00:00,42.0,0 days 00:00:00,0.0057,0.023,0.0,Mar,Android,Google Chrome,Asia,Facebook ads,Returning_Visitor,True,False
104,1.0,0 days 00:02:46.500000,0,0 days 00:00:00,1.0,0 days 00:00:00,0.0088,0.019,0.0,May,Windows,Google Chrome,South America,Facebook ads,Returning_Visitor,True,False
105,7.0,0 days 00:07:21,0,0 days 00:00:00,28.0,0 days 00:00:00,0.0,0.008,0.0,Mar,Windows,Google Chrome,Africa,Youtube channel,New_Visitor,True,False
106,1.0,0 days 00:01:20,1,0 days 00:00:25,10.0,0 days 00:00:25,0.0143,0.019,0.0,May,MACOS,Safari,South America,Twitter,Returning_Visitor,False,False
107,0.0,0 days 00:00:00,1,0 days 00:00:00,15.0,0 days 00:00:00,0.0,0.019,35.1,May,MACOS,Safari,Eastern Europe,Bing search,Returning_Visitor,True,True
108,9.0,0 days 00:05:42.066666699,0,0 days 00:00:00,16.0,0 days 00:00:00,0.0063,0.014,0.0,Mar,MACOS,Safari,Africa,Instagram ads,Returning_Visitor,False,False
109,0.0,0 days 00:00:00,0,0 days 00:00:00,10.0,0 days 00:00:00,0.0,0.016,38.8,Dec,Windows,Google Chrome,Northern Africa,Facebook ads,Returning_Visitor,False,True
110,0.0,0 days 00:00:00,2,0 days 00:01:16.500000,6.0,0 days 00:01:16.500000,0.0667,0.071,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
111,0.0,0 days 00:00:00,0,0 days 00:00:00,9.0,0 days 00:00:00,0.0662,0.056,0.0,May,Windows,Google Chrome,North America,Twitter,Returning_Visitor,False,False
112,5.0,0 days 00:02:51.250000,1,0 days 00:00:00,362.0,0 days 00:00:00,0.0044,0.025,1.2,Nov,Windows,Google Chrome,North America,Google search,Returning_Visitor,False,False
113,0.0,0 days 00:00:00,0,0 days 00:00:00,6.0,0 days 00:00:00,0.0,0.017,59.0,Mar,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,True
114,0.0,0 days 00:00:00,0,0 days 00:00:00,12.0,0 days 00:00:00,0.0,0.02,0.0,May,Windows,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
115,4.0,0 days 00:02:25,0,0 days 00:00:00,7.0,0 days 00:00:00,0.013,0.033,0.0,May,MACOS,Safari,North America,Newsletter,Returning_Visitor,True,False
116,0.0,0 days 00:00:00,0,0 days 00:00:00,6.0,0 days 00:00:00,0.2,0.2,0.0,Oct,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
117,8.0,0 days 00:00:06,2,0 days 00:01:02,36.0,0 days 00:01:02,0.0168,0.031,6.9,May,Windows,Google Chrome,Oceania,Facebook ads,Returning_Visitor,False,False
118,0.0,0 days 00:00:00,0,0 days 00:00:00,13.0,0 days 00:00:00,0.0181,0.031,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
119,0.0,0 days 00:00:00,0,0 days 00:00:00,5.0,0 days 00:00:00,0.0333,0.05,0.0,May,MACOS,Safari,North America,Google search,Returning_Visitor,True,False
120,0.0,0 days 00:00:06,0,0 days 00:00:00,5.0,0 days 00:00:00,0.0667,0.071,0.0,Nov,MACOS,Safari,North America,Facebook ads,Returning_Visitor,False,False
121,2.0,0 days 00:00:55,3,0 days 00:05:47,21.0,0 days 00:05:47,0.0278,0.049,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
122,0.0,0 days 00:02:13.083333300,1,0 days 00:03:49.500000,50.0,0 days 00:03:49.500000,0.0,0.007,8.6,May,Android,Google Chrome,Western Europe,Bing search,Returning_Visitor,True,False
123,3.0,0 days 00:02:02,0,0 days 00:00:00,1.0,0 days 00:00:00,0.0011,0.004,36.5,Mar,Windows,Internet Explorer,Africa,Google search,Returning_Visitor,True,True
124,0.0,0 days 00:00:00,0,0 days 00:00:00,11.0,0 days 00:00:00,0.0254,0.062,0.0,Dec,MACOS,Safari,Eastern Europe,Tik Tok ads,Returning_Visitor,False,False
125,8.0,0 days 00:01:12,0,0 days 00:00:00,44.0,0 days 00:00:00,0.0054,0.015,0.0,May,iOS,Safari,North America,Google search,Returning_Visitor,False,False
126,3.0,0 days 00:00:24.200000,0,0 days 00:00:00,3.0,0 days 00:00:00,0.0,0.067,0.0,May,Android,Google Chrome,North America,Bing search,Returning_Visitor,False,False
127,0.0,0 days 00:00:00,0,0 days 00:00:00,1.0,0 days 00:00:00,0.0045,0.057,54.0,May,Windows,Google Chrome,Northern Africa,Google search,Returning_Visitor,False,True
128,0.0,0 days 00:00:00,0,0 days 00:00:00,8.0,0 days 00:00:00,0.0,0.015,0.0,June,MACOS,Safari,Northern Africa,Google search,Returning_Visitor,False,False
129,0.0,0 days 00:00:00,0,0 days 00:00:00,12.0,0 days 00:00:00,0.0087,0.018,0.0,Nov,Android,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,False,False
130,0.0,0 days 00:00:00,0,0 days 00:00:00,24.0,0 days 00:00:00,0.0035,0.015,0.0,Nov,Windows,Google Chrome,North America,Direct Traffic,Returning_Visitor,False,False
131,0.0,0 days 00:00:00,0,0 days 00:00:00,37.0,0 days 00:00:00,0.0,0.009,73.4,Nov,Android,Google Chrome,Western Europe,Tik Tok ads,Returning_Visitor,True,True
132,8.0,0 days 00:01:21.233333300,2,0 days 00:02:21.266666699,34.0,0 days 00:02:21.266666699,0.0,0.011,0.0,Nov,Windows,Mozilla Firefox,North America,Google search,New_Visitor,False,False
133,0.0,0 days 00:00:00,0,0 days 00:00:00,5.0,0 days 00:00:00,0.0,0.027,0.0,Nov,Windows,Google Chrome,North America,Youtube ads,Returning_Visitor,False,True
134,7.0,0 days 00:04:44,2,0 days 00:00:15,47.0,0 days 00:00:15,0.02,0.02,0.0,Nov,MACOS,Safari,Oceania,Google search,Returning_Visitor,False,False
135,14.0,0 days 00:02:47.913333300,4,0 days 00:03:54.200000,62.0,0 days 00:03:54.200000,0.004,0.009,45.9,Oct,Windows,Google Chrome,North America,Google search,Returning_Visitor,True,False
136,5.0,0 days 00:03:41.750000,0,0 days 00:00:00,19.0,0 days 00:00:00,0.0051,0.041,17.5,Nov,MACOS,Safari,North America,Google search,Returning_Visitor,False,True
137,0.0,0 days 00:00:00,0,0 days 00:00:00,23.0,0 days 00:00:00,0.0032,0.027,0.0,Nov,Android,Google Chrome,North America,Google search,Returning_Visitor,False,True
138,0.0,0 days 00:00:00,0,0 days 00:00:00,3.0,0 days 00:00:00,0.0,0.025,0.0,Dec,Android,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,False
139,10.0,0 days 00:02:58.708234300,1,0 days 00:02:35,259.0,0 days 00:02:35,0.0032,0.004,3.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,True,True
140,0.0,0 days 00:00:00,0,0 days 00:00:00,20.0,0 days 00:00:00,0.0,0.003,65.0,Nov,Android,Google Chrome,South America,Youtube channel,New_Visitor,False,True
141,1.0,0 days 00:01:46,0,0 days 00:00:00,27.0,0 days 00:00:00,0.0115,0.035,0.0,May,Android,Google Chrome,Oceania,Bing search,Returning_Visitor,False,False
142,1.0,0 days 00:07:34.300000,0,0 days 00:00:00,38.0,0 days 00:00:00,0.0058,0.023,16.5,Oct,Windows,Google Chrome,Western Europe,Bing search,Returning_Visitor,False,True
143,0.0,0 days 00:00:00,0,0 days 00:00:00,27.0,0 days 00:00:00,0.0,0.014,0.0,Dec,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,True,False
144,0.0,0 days 00:00:06,0,0 days 00:00:00,7.0,0 days 00:00:00,0.0,0.02,0.0,May,Windows,Microsoft Edge,Western Europe,Facebook ads,New_Visitor,False,False
145,0.0,0 days 00:00:00,0,0 days 00:00:00,3.0,0 days 00:00:00,0.2,0.2,0.0,May,Windows,Google Chrome,Eastern Europe,Instagram Page,Returning_Visitor,False,False
146,1.0,0 days 00:00:05.500000,0,0 days 00:00:00,11.0,0 days 00:00:00,0.0,0.025,71.4,Nov,Windows,Google Chrome,North America,Youtube channel,Returning_Visitor,False,False
147,0.0,0 days 00:00:00,0,0 days 00:00:00,6.0,0 days 00:00:00,0.0534,0.067,0.0,Mar,Windows,Google Chrome,Southern Africa,Facebook ads,Returning_Visitor,True,False
148,0.0,0 days 00:00:00,2,0 days 00:00:27,69.0,0 days 00:00:27,0.0,0.015,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
